,subj,cat,what,prop
0,eva,low,0.01667,0.3125
1,eva,low,0.0333,0.625
2,eva,low,0.05,0.875
3,eva,low,0.06667,1.0
4,eva,low,0.0833,1.0
5,eva,low,0.1,1.0
6,eva,high,0.01667,0.25
7,eva,high,0.0333,0.625
8,eva,high,0.05,0.625
9,eva,high,0.06667,0.875
10,eva,high,0.0833,0.9375
11,eva,high,0.1,0.9375
12,Lorenz,low,0.01667,0.25
13,Lorenz,low,0.0333,0.375
14,Lorenz,low,0.05,0.375
15,Lorenz,low,0.06667,0.9375
16,Lorenz,low,0.0833,0.875
17,Lorenz,low,0.1,0.8125
18,Lorenz,high,0.01667,0.125
19,Lorenz,high,0.0333,0.1875
20,Lorenz,high,0.05,0.25
21,Lorenz,high,0.06667,0.625
22,Lorenz,high,0.0833,0.8125
23,Lorenz,high,0.1,1.0
24,Patrick,low,0.01667,0.25
25,Patrick,low,0.0333,0.375
26,Patrick,low,0.05,0.4375
27,Patrick,low,0.06667,0.375
28,Patrick,low,0.0833,0.5
29,Patrick,low,0.1,0.8125
30,Patrick,high,0.01667,0.3125
31,Patrick,high,0.0333,0.1875
32,Patrick,high,0.05,0.25
33,Patrick,high,0.06667,0.5
34,Patrick,high,0.0833,0.75
35,Patrick,high,0.1,0.8125
36,Sofie,low,0.01667,0.1875
37,Sofie,low,0.0333,0.3125
38,Sofie,low,0.05,0.25
39,Sofie,low,0.06667,0.5
40,Sofie,low,0.0833,0.4375
41,Sofie,low,0.1,0.375
42,Sofie,high,0.01667,0.1875
43,Sofie,high,0.0333,0.3125
44,Sofie,high,0.05,0.25
45,Sofie,high,0.06667,0.3125
46,Sofie,high,0.0833,0.4375
47,Sofie,high,0.1,0.3125
48,VP1,low,0.01667,0.4375
49,VP1,low,0.0333,0.3125
50,VP1,low,0.05,0.1875
51,VP1,low,0.06667,0.25
52,VP1,low,0.0833,0.4375
53,VP1,low,0.1,0.25
54,VP1,high,0.01667,0.3125
55,VP1,high,0.0333,0.3125
56,VP1,high,0.05,0.25
57,VP1,high,0.06667,0.1875
58,VP1,high,0.0833,0.25
59,VP1,high,0.1,0.25
60,VP2,low,0.01667,0.875
61,VP2,low,0.0333,0.75
62,VP2,low,0.05,0.9375
63,VP2,low,0.06667,1.0
64,VP2,low,0.0833,0.9375
65,VP2,low,0.1,1.0
66,VP2,high,0.01667,0.25
67,VP2,high,0.0333,0.3125
68,VP2,high,0.05,0.25
69,VP2,high,0.06667,0.1875
70,VP2,high,0.0833,0.4375
71,VP2,high,0.1,0.625
72,vp4,low,0.01667,0.25
73,vp4,low,0.0333,0.3125
74,vp4,low,0.05,0.75
75,vp4,low,0.06667,0.625
76,vp4,low,0.0833,0.75
77,vp4,low,0.1,1.0
78,vp4,high,0.01667,0.3125
79,vp4,high,0.0333,0.3125
80,vp4,high,0.05,0.5
81,vp4,high,0.06667,0.4375
82,vp4,high,0.0833,0.8125
83,vp4,high,0.1,0.8125
84,VP5,low,0.01667,0.375
85,VP5,low,0.0333,0.4375
86,VP5,low,0.05,0.5625
87,VP5,low,0.06667,0.8125
88,VP5,low,0.0833,0.9375
89,VP5,low,0.1,0.9375
90,VP5,high,0.01667,0.4375
91,VP5,high,0.0333,0.1875
92,VP5,high,0.05,0.3125
93,VP5,high,0.06667,0.625
94,VP5,high,0.0833,0.6875
95,VP5,high,0.1,0.9375
96,VP6,low,0.01667,0.25
97,VP6,low,0.0333,0.1875
98,VP6,low,0.05,0.125
99,VP6,low,0.06667,0.3125
100,VP6,low,0.0833,0.375
101,VP6,low,0.1,0.3125
102,VP6,high,0.01667,0.4375
103,VP6,high,0.0333,0.3125
104,VP6,high,0.05,0.1875
105,VP6,high,0.06667,0.1875
106,VP6,high,0.0833,0.4375
107,VP6,high,0.1,0.375
108,VP7,low,0.01667,0.5
109,VP7,low,0.0333,0.5
110,VP7,low,0.05,1.0
111,VP7,low,0.06667,0.9375
112,VP7,low,0.0833,1.0
113,VP7,low,0.1,1.0
114,VP7,high,0.01667,0.25
115,VP7,high,0.0333,0.375
116,VP7,high,0.05,0.6875
117,VP7,high,0.06667,0.875
118,VP7,high,0.0833,0.875
119,VP7,high,0.1,1.0
