,trialno,correctno,delay,cpd,selected,totdur,switches,tpertrial,subj
0,1,2,1.5,2,2,18.644,5,3.7287999999999997,eva
1,2,3,0.0,2,3,15.21,4,3.8025,eva
2,3,1,1.5,8,1,15.550999999999998,4,3.8877499999999996,eva
3,4,2,0.0,2,2,25.41,4,6.3525,eva
4,5,2,1.5,2,2,19.208000000000002,4,4.8020000000000005,eva
5,6,2,1.5,8,1,22.692999999999998,6,3.7821666666666665,eva
6,7,1,0.0,8,1,17.904,4,4.476,eva
7,8,3,0.0,2,2,15.650000000000002,4,3.9125000000000005,eva
8,9,2,0.0,8,2,20.292,4,5.073,eva
9,10,1,1.5,2,1,14.599,4,3.64975,eva
10,11,1,1.5,8,1,13.093200000000001,4,3.2733000000000003,eva
11,12,3,0.0,8,3,10.429,3,3.4763333333333333,eva
12,13,1,0.0,2,1,12.151,4,3.03775,eva
13,14,1,0.0,8,1,15.541999999999998,4,3.8854999999999995,eva
14,15,2,1.5,8,1,17.811,5,3.5622,eva
15,16,1,0.0,8,1,20.052999999999997,5,4.010599999999999,eva
16,17,2,1.5,2,2,13.832,5,2.7664,eva
17,18,2,0.0,2,2,9.475999999999999,4,2.3689999999999998,eva
18,19,2,0.0,8,1,19.965000000000003,8,2.4956250000000004,eva
19,20,1,1.5,8,1,31.27,7,4.467142857142857,eva
20,21,2,0.0,2,2,13.038999999999998,5,2.6077999999999997,eva
21,22,2,0.0,2,1,10.051,4,2.51275,eva
22,23,1,1.5,8,1,23.643,7,3.3775714285714287,eva
23,24,2,1.5,2,2,17.595,5,3.5189999999999997,eva
24,25,1,0.0,2,1,17.814,5,3.5628,eva
25,26,2,1.5,2,2,19.811,5,3.9622,eva
26,27,2,0.0,8,2,15.283999999999999,4,3.8209999999999997,eva
27,28,1,0.0,8,2,19.872,5,3.9744,eva
28,29,3,1.5,8,2,22.357000000000003,5,4.471400000000001,eva
29,30,3,0.0,2,3,14.933,4,3.73325,eva
30,31,1,1.5,2,1,9.438,4,2.3595,eva
31,32,2,0.0,8,2,25.473999999999997,5,5.094799999999999,eva
32,33,1,1.5,2,1,13.020000000000001,4,3.2550000000000003,eva
33,34,2,1.5,8,2,15.136,5,3.0271999999999997,eva
34,35,2,0.0,2,3,9.298,3,3.0993333333333335,eva
35,36,1,0.0,2,1,15.443000000000001,5,3.0886000000000005,eva
36,37,2,1.5,2,2,16.062,6,2.677,eva
37,38,2,0.0,8,2,12.38,4,3.095,eva
38,39,2,0.0,2,1,17.151,5,3.4302,eva
39,40,2,0.0,8,2,13.227,4,3.30675,eva
40,41,3,0.0,8,3,14.846,6,2.4743333333333335,eva
41,42,3,1.5,8,2,18.238,4,4.5595,eva
42,43,1,0.0,8,1,18.547,4,4.63675,eva
43,44,1,0.0,2,1,15.016,4,3.754,eva
44,45,3,1.5,8,2,10.201,4,2.55025,eva
45,46,3,1.5,2,2,15.064,4,3.766,eva
46,47,1,1.5,8,1,13.584,4,3.396,eva
47,48,1,0.0,2,1,18.727,6,3.121166666666667,eva
48,49,2,1.5,8,2,13.478000000000002,5,2.6956,eva
49,50,1,0.0,2,1,14.174,5,2.8348,eva
50,51,3,1.5,2,3,13.530000000000001,4,3.3825000000000003,eva
51,52,1,1.5,2,1,15.046,4,3.7615,eva
52,53,1,1.5,2,1,19.113,5,3.8226,eva
53,54,3,0.0,8,2,19.41,5,3.882,eva
54,55,2,1.5,8,2,24.18,7,3.454285714285714,eva
55,56,1,0.0,8,1,11.642,4,2.9105,eva
56,57,1,1.5,8,1,10.449,4,2.61225,eva
57,58,2,1.5,8,3,21.951,4,5.48775,eva
58,59,3,1.5,2,3,12.823,4,3.20575,eva
59,60,1,1.5,2,2,12.035,4,3.00875,eva
60,1,2,1.5,2,2,12.612000000000002,5,2.5224,Lorenz
61,2,3,0.0,2,3,16.839,4,4.20975,Lorenz
62,3,1,1.5,8,1,15.457,5,3.0914,Lorenz
63,4,2,0.0,2,2,18.619,4,4.65475,Lorenz
64,5,2,1.5,2,2,15.552,3,5.184,Lorenz
65,6,2,1.5,8,2,10.356,3,3.452,Lorenz
66,7,1,0.0,8,1,13.351,3,4.450333333333334,Lorenz
67,8,3,0.0,2,2,19.377000000000002,4,4.844250000000001,Lorenz
68,9,2,0.0,8,2,18.95,3,6.316666666666666,Lorenz
69,10,1,1.5,2,1,13.277,3,4.425666666666666,Lorenz
70,11,1,1.5,8,1,19.544,4,4.886,Lorenz
71,12,3,0.0,8,2,20.255000000000003,3,6.751666666666668,Lorenz
72,13,1,0.0,2,1,17.434,5,3.4868,Lorenz
73,14,1,0.0,8,1,13.091000000000001,3,4.363666666666667,Lorenz
74,15,2,1.5,8,1,20.55,3,6.8500000000000005,Lorenz
75,16,1,0.0,8,1,25.192,4,6.298,Lorenz
76,17,2,1.5,2,2,16.739,3,5.579666666666667,Lorenz
77,18,2,0.0,2,2,36.41,5,7.281999999999999,Lorenz
78,19,2,0.0,8,2,19.348000000000003,4,4.837000000000001,Lorenz
79,20,1,1.5,8,1,16.954,3,5.6513333333333335,Lorenz
80,21,2,0.0,2,2,13.607,4,3.40175,Lorenz
81,22,2,0.0,2,1,19.738999999999997,4,4.934749999999999,Lorenz
82,23,1,1.5,8,1,20.953999999999997,4,5.238499999999999,Lorenz
83,24,2,1.5,2,2,31.389,6,5.2315,Lorenz
84,25,1,0.0,2,1,19.605,3,6.535,Lorenz
85,26,2,1.5,2,2,30.248,8,3.781,Lorenz
86,27,2,0.0,8,2,20.409,6,3.4015,Lorenz
87,28,1,0.0,8,2,19.9401,9,2.2155666666666667,Lorenz
88,29,3,1.5,8,3,21.777,3,7.259,Lorenz
89,30,3,0.0,2,3,14.841999999999999,3,4.947333333333333,Lorenz
90,31,1,1.5,2,1,17.03,4,4.2575,Lorenz
91,32,2,0.0,8,2,26.676000000000002,4,6.6690000000000005,Lorenz
92,33,1,1.5,2,1,16.491,3,5.497,Lorenz
93,34,2,1.5,8,2,18.361,4,4.59025,Lorenz
94,35,2,0.0,2,2,14.766,6,2.461,Lorenz
95,36,1,0.0,2,1,12.689,6,2.1148333333333333,Lorenz
96,37,2,1.5,2,2,12.701,4,3.17525,Lorenz
97,38,2,0.0,8,2,23.417,6,3.9028333333333336,Lorenz
98,39,2,0.0,2,1,9.469,6,1.5781666666666665,Lorenz
99,40,2,0.0,8,2,22.047999999999995,7,3.149714285714285,Lorenz
100,41,3,0.0,8,1,13.161,5,2.6322,Lorenz
101,42,3,1.5,8,3,16.660999999999998,4,4.1652499999999995,Lorenz
102,43,1,0.0,8,1,16.943,7,2.420428571428572,Lorenz
103,44,1,0.0,2,1,19.171000000000003,5,3.8342000000000005,Lorenz
104,45,3,1.5,8,3,24.465999999999998,7,3.4951428571428567,Lorenz
105,46,3,1.5,2,3,17.171000000000003,6,2.8618333333333337,Lorenz
106,47,1,1.5,8,1,20.983999999999998,5,4.1968,Lorenz
107,48,1,0.0,2,1,13.174,5,2.6348,Lorenz
108,49,2,1.5,8,2,18.338,5,3.6676,Lorenz
109,50,1,0.0,2,1,11.183,5,2.2366,Lorenz
110,51,3,1.5,2,2,10.572000000000001,4,2.6430000000000002,Lorenz
111,52,1,1.5,2,1,16.904,4,4.226,Lorenz
112,53,1,1.5,2,1,10.721000000000002,4,2.6802500000000005,Lorenz
113,54,3,0.0,8,3,10.557,5,2.1114,Lorenz
114,55,2,1.5,8,1,17.537,6,2.922833333333333,Lorenz
115,56,1,0.0,8,1,16.936999999999998,5,3.3873999999999995,Lorenz
116,57,1,1.5,8,1,16.049,4,4.01225,Lorenz
117,58,2,1.5,8,2,25.45,6,4.241666666666666,Lorenz
118,59,3,1.5,2,3,13.058,3,4.352666666666667,Lorenz
119,60,1,1.5,2,1,15.085999999999999,4,3.7714999999999996,Lorenz
